caption_id,caption,score,source
420287,"A tidy corner features a black book shelf, a desk with two computers and a black chair.",1.875,mscoco
107840,A city bus is stopped at a light on a sunny day.,1.5,mscoco
434409,A man is eating a doughnut hanging from a string.,1.375,mscoco
575574,Young adults playing on grassy field with flying disc during match play.,2.0,mscoco
235651,"A sitting area with a television, in a hotel room.",1.875,mscoco
247529,A black fire hydrant sits between two silver poles on the sidewalk near a building.,1.3333333333333333,mscoco
434673,A tennis player is preparing to play a game of tennis.,1.6,mscoco
388893,A man with an orange ribbon clutched in his teeth tucks his ski poles as he races down a slope.,1.2891963109354414,mscoco
41962,A woman playing tennis on the tennis court,-1.0,mscoco
195911,A large kitchen with a metallic refrigerator freezer and a center island.,1.6666666666666667,mscoco
119171,A white cat sits below a boot filled shoe rack.,1.68156766687079,mscoco
210909,Various shots of a woman smiling and messing with a keyboard.,1.75,mscoco
567416,Trash cans are on a sidewalk next to a fire hydrant and fence.,1.6666666666666667,mscoco
64139,An Apple instruction book with a mouse and keyboard next to it.,0.3333333333333333,mscoco
86687,A cat sticking its head in a toilet.,1.8,mscoco
581486,A man stands in a library wearing glasses and a bow tie.,2.0,mscoco
248809,A boat filled with people observing a large elephant on land ,0.3333333333333333,mscoco
500861,A man on a boat in the ocean. ,2.0,mscoco
405995,two women standing around and playing a wii game,1.75,mscoco
243825,Vehicle and pedestrian traffic at night on a city street.,1.8333333333333333,mscoco
268897,Three giraffes standing around in a zoo enclosure,2.0,mscoco
291990,"Street sign, with name and abbreviation, in front of very old building.",1.6666666666666663,mscoco
149230,Three people with umbrellas walking over a wooden bridge.,2.0,mscoco
228409,Animation of a person riding on a motorcycle.,2.0,mscoco
60467,"LUNCH TRAY WITH EGG SANDWICH, HASH BROWNS, FRUIT AND CONDIMENTS",1.75,mscoco
531126,Woman playing with soccer while children watch intently,1.75,mscoco
493477,A yellow and black fire hydrant next to a  red truck.,2.0,mscoco
68852,A surfboard on top of a beaten car near the ocean,2.0,mscoco
242656,Several cows grazing in a field under a tree.,2.0,mscoco
369000,A tusked elephant eating grass in a zoo enclosure,1.8333333333333333,mscoco
526247,Fresh baked pizza on metal pans being sliced for service.,2.0,mscoco
558235,A orange and red train parked at the station.,2.0,mscoco
321717,A person preparing sandwiches at a food stand.,2.0,mscoco
9142,A bird standing on the sand at the beach. ,2.0,mscoco
9851,A horse leans over the fence to talk to a dog.,0.125,mscoco
254892,A giraffe standing on grass inside a fenced area.,2.0,mscoco
548822,A man in shorts has his foot on a soccer ball.,2.0,mscoco
194909,Adult on skis in snow covered alpine area with tents.,2.0,mscoco
203433,A woman in blue shirt holding two cellphones with cars in background.,2.0,mscoco
127072,A large herd of sheep are grazing in a field.,2.0,mscoco
485752,A long cargo train is on railroad tracks. ,2.0,mscoco
34754,A baseball player swings at a low pitch.,2.0,mscoco
454892,a bench sits alone on a field in front of trees. ,1.875,mscoco
16805,A yellow fire hydrant next to a street.,1.97887323943662,mscoco
369593,A clock is displayed on a white painted tower.,2.0,mscoco
84174,A baseball player begins to run while holding the bat.,2.0,mscoco
24723,A baseball player getting ready to swing at a baseball game in a stadium packed with people.,1.8333333333333333,mscoco
24375,A person on a snowboard performs a jump while two people watch.,1.5833333333333337,mscoco
534521,A toilet without a tank is in a bathroom next to a bathtub. ,1.5833333333333337,mscoco
71621,A white toilet sitting under a toilet seat protector.,2.0,mscoco
56400,A man wearing glasses while holding a banana.,2.0,mscoco
206398,A giraffe standing in a grassy open field.,2.0,mscoco
434177,a group of people walk on a beach with surf boards,2.0,mscoco
385744,Two women sitting at a table taking pictures of food.,2.0,mscoco
247474,a woman and young child pose on steps with  teddy bear statue,0.25,mscoco
305082,"A plate with a grilled cheese sandwich, french fries, tomatoes, and pickles. ",1.9,mscoco
422536,a woman looking at the banana tree in the garden,1.8333333333333333,mscoco
457882,A woman with a swimsuit on sitting with a dog.,1.9375,mscoco
89052,Two people are eating breakfast at a restaurant.,2.0,mscoco
183762,A young man tossing a white frisbee across a field.,1.875,mscoco
82486,Adults hugging in open large field with suitcases.,2.0,mscoco
462071,"A fruit stand with apples, bananas, oranges, pineapples, watermelon and grapes. ",1.8333333333333333,mscoco
264718,A green and white traffic sign stands on the corner.,1.6666666666666667,mscoco
268710,Two zebras stand next to each other in a black and white photo. ,2.0,mscoco
204626,A woman is skiing down a snowy hill.,2.0,mscoco
107881,Large brown dog standing next to a person on red scooter. ,1.5333333333333332,mscoco
76146,A man and woman standing in front of a man leaning on a parking meter.,1.8333333333333333,mscoco
432053,Bunches of bananas are being displayed in a decorative bowl.,2.0,mscoco
58640,Herds of okapi and other animals on the African Savannah. ,2.0,mscoco
233726,Two people standing up with wii wired controllers.  ,1.7571428571428571,mscoco
4266,A skiier is skiing down a bunny hill slope.,2.0,mscoco
423448,A white refrigerator freezer next to a washer.,1.6607142857142856,mscoco
193271,A small kitchen with glass and wooden cabinets.,2.0,mscoco
192652,A chocolate donut on a red plate near a beverage cup.,1.75,mscoco
210777,A kid eats a sandwich on a picnic bench.,2.0,mscoco
355385,A bride and groom cutting a wedding cake.,1.75,mscoco
555782,Two horses are standing together near a fence.,2.0,mscoco
50324,Two animated woman and a man standing in a yard.,2.0,mscoco
186240,An elephant eating hay as a person disperses it out.,1.5,mscoco
252811,A Jets transport vehicle near a group of people.,2.0,mscoco
290378,Altered photograph of a toddler in a baseball cap on a wooden bench,1.75,mscoco
353701,Pizza is sitting on a plate which is sitting on table.,1.9,mscoco
480818,Several people sitting at a large table with papers on it.,2.0,mscoco
393036,Riders on horseback travel along the seashore under the pier.,2.0,mscoco
142014,People are riding bicycles and walking across an intersection.,2.0,mscoco
51027,A black dog is tied to a chair arm and looks at the camera.,1.5,mscoco
543877,"A bathroom features white, bowl sinks and a bathtub.",1.9,mscoco
321168,A boy in a tie poses for a picture. ,2.0,mscoco
463296,A living room has modern white furniture and red walls.,1.55,mscoco
504868,Two giraffes standing in front of the door to a house. ,2.0,mscoco
342942,A dog standing on an opened window ,1.8333333333333333,mscoco
462814,Two women on a tennis court shaking hands ,1.7,mscoco
97028,a bowl of vegetable soup on a table,2.0,mscoco
514073,two people in the distance carry a surfboard on a beach,1.8333333333333333,mscoco
52853,A small cow is walking down a path with an adult cow while a man in a red shirt watches.,1.4,mscoco
359148,A large clock is displayed on a building.,2.0,mscoco
146881,"A blue, green, black and white shuttle bus and cars on road",2.0,mscoco
56641,A city street with a no parking sign on a post,1.125,mscoco
412094,A train locomotive sitting on the tracks at a station.,2.0,mscoco
261333,A black cat with its head in a blue cup.,2.0,mscoco
64501,A baseball game with the pitcher in throwing motion and a base runner leading off of first base.,1.7857142857142856,mscoco
248948,Three giraffes and three zebras wander around in a field with trees.,1.225,mscoco
137552,Vase with roses displayed on table alongside electronic computer equipment.,2.0,mscoco
572448,a close up of a plate of fruit with apples,2.0,mscoco
111318,The black and white photo shows an old clock tower.,2.0,mscoco
67220,An emergency response person is on a motorcycle.,2.0,mscoco
381117,A man in a black hat standing next to a parking meter.,2.0,mscoco
576803,A woman reading a book on a park bench. ,2.0,mscoco
420330,A spinach and cheese pizza with tomato sauce on a plate. ,2.0,mscoco
119132,An airplane ascends through a cloud into a blue sky.,2.0,mscoco
22530,A white refrigerator freezer sitting inside of a kitchen.,1.8333333333333333,mscoco
349318,"American Airlines' 707 Astrojet was  the first to be commercially successful in the 1960s, cutting travel time   from coast to coast.",1.6666666666666667,mscoco
95349,"Preparing a pizza topped with grated cheese, tomato sauce and vegetables for baking.",2.0,mscoco
406152,Three people are walking in the rain carrying umbrellas. ,2.0,mscoco
92196,A green vase with red roses sitting on a table.,2.0,mscoco
204289,A doughnut covered in nuts sitting in a blue bowl. ,1.875,mscoco
165174,Two men posing for pictures with their skis on a mountain.,2.0,mscoco
56506,a snow skier in a yellow jacket is doing a jump,2.0,mscoco
301257,Protesters carrying pink parasols and signs in front of a wrought-iron gate.,1.5,mscoco
279265,A man walking in the kitchen near a chair. ,1.875,mscoco
76100,Kitchen cabinets above refrigerator with magnets and notes.,2.0,mscoco
210932,A picture of a several individuals walking on a sidewalk in between buildings.,2.0,mscoco
14850,Some elephants stand in a zoo exhibit with a small pond.,2.0,mscoco
184135,This is an aerial view of people gathered with umbrellas on a rainy street.,2.0,mscoco
167348,A young girl in a green shirt holds out a tennis racket as an over sized tennis ball hovers over it.,1.5,mscoco
479481,"A bathroom area with toilet, toilet paper dispenser and trash can.",1.625,mscoco
138742,A man in a red coat skiing down a snow covered hill.,1.9,mscoco
146,"A fluffy baby sloth with a knitted hat trying to figure out a laptop, close up, highly detailed, studio lighting, screen reflecting in its eyes.",2.0,drawbench
486770,Men serve themselves pizza out of boxes laid out on a table.,1.875,mscoco
521796,There is a bed bunk above some seats on a train.,2.0,mscoco
178009,View of residential street at traffic light with orange and white gates and cones in street.,1.9,mscoco
323502,An elephant with tusks standing on a path.,2.0,mscoco
165455,A green car and a bus travel down a street. ,1.8,mscoco
374068,A woman holds a Wii remote with both hands.,1.5,mscoco
307364,some people on a street with umbrellas and some buildings,2.0,mscoco
83277,a person jumping a skate board in the air ,2.0,mscoco
175693,A red and orange fire hydrant sits on a snowy street while people are walking by.,1.8333333333333333,mscoco
365565,Dirt bike racing demands regular maintenance prior to a race.,1.3333333333333333,mscoco
133565,Black cat laying on a green blanket staring at the camera.,2.0,mscoco
152668,A group of motorcyclists are parked in a parking lot.,2.0,mscoco
41730,"Two yellow dishes of food, one with rice and the other containing broccoli and an orange and a container of activia next to it.",1.25,mscoco
312033,"Little League baseball players, including a pitcher, a hitter, and two umpires.",2.0,mscoco
327032,A boy playing a game with a remote controller.,2.0,mscoco
234967,A fire hydrant with a mans face painted on it. ,1.8333333333333333,mscoco
219435,A small charter plane sitting on a runway.,1.8333333333333333,mscoco
242539,Several baseball players wearing white sitting on a bench in the dugout next to baseball bats. ,2.0,mscoco
480634,Various glasses of juices and breakfast foods on a table.,2.0,mscoco
114661,A woman wearing white rides her surfboard on a wave.,1.6666666666666663,mscoco
89618,The personal pizza is next to a plate of french fries.,2.0,mscoco
98689,Two people are on a tennis court playing tennis.,1.625,mscoco
494049,An elephant standing near rocks in front of a building.,2.0,mscoco
397980,The child in the black helmet is swinging at a tee ball stand.,1.6666666666666663,mscoco
322392,A Grizzly bear sits in a field near a river.,1.3333333333333337,mscoco
77100,A street scene with people walking and street signs.,0.25,mscoco
113649,The black cat is sitting on the unmade bed.,2.0,mscoco
529266,A horse grazes on beach grass with a lighthouse in the background.,1.8333333333333333,mscoco
312182,A large group of people walk under highway signs.,1.575,mscoco
488645,A toast and tomato breakfast with orange juice.,2.0,mscoco
550206,A street scene with focus on a gray and red fire hydrant.,1.9,mscoco
332931,A large group of motorcycle riders travel on the highway.,2.0,mscoco
201702,A man standing in a room with an aquarium ,2.0,mscoco
446088,A home computer and coffee mug on a desk.,2.0,mscoco
390395,"A steep incline of snow, a strip of sky and what looks like a large red strut sticking out of the snow make a setting for a helmeted skier in otherwise regular clothes in a twisted posture the points of his or her skis ascending the slope. ",1.3333333333333333,mscoco
516268,An empty playground with three small wood benches and money bars. ,1.8333333333333333,mscoco
54204,People with horse drawn carriage on side of city street.,2.0,mscoco
287302,Zebras racing each other in their zoo enclosure,2.0,mscoco
126288,A cross-country skier in the snow under a tree.,2.0,mscoco
406723,"A woman is standing on a surfboard, riding a wave.",1.875,mscoco
110,"A sjmall domesticated carnivorious mammnal with sof fuh,y a sthort sout, and retracwtablbe flaws. It iw widexly kept as a pet or for catchitng mic, ad many breeds zhlyde beefn develvoked.",2.0,drawbench
233169,An orange cat sitting at corner of desk next to a keyboard.,2.0,mscoco
28555,A woman talking on a cell phone with a smile.,1.9375,mscoco
253906,A close up of a man wearing glasses eating a hot dog.,2.0,mscoco
390286,A large display of stuffed animals are on a pink cloth.,2.0,mscoco
147,"A tiger in a lab coat with a 1980s Miami vibe, turning a well oiled science content machine, digital art.",2.0,drawbench
284770,Players and officials standing around on an indoor tennis court.,1.875,mscoco
444209,a white and black parked motorcycle and some other parked bikes,2.0,mscoco
322297,People are on the beach with chairs and colorful umbrellas.,2.0,mscoco
176732,Many large jets are parked at the airport loading area.,0.5,mscoco
444033,people standing around a table set up with many boxes of pizza ,2.0,mscoco
435389,a shelf with some flowers a vase a clock and a television,1.7,mscoco
187566,A steak and several hotdogs cook on a grill.,2.0,mscoco
38552,A group of sheep are shown under a tree.,2.0,mscoco
107734,A large bowl of bananas and oranges in a room.,2.0,mscoco
374087,A large box filled with assorted fruits and vegetables.,2.0,mscoco
460040,Several glazed doughnuts in a white box container.,2.0,mscoco
43893,The man is standing in front of a television near a bed. ,2.0,mscoco
320857,A cell phone sits on a desk next to a green box.,1.8333333333333333,mscoco
476268,A row of chairs and umbrellas on a beach.,2.0,mscoco
455639,A young boy in a baseball uniform is swinging a baseball bat.,2.0,mscoco
332812,Old photograph depicting major league baseball player at stadium.,2.0,mscoco
419144,Elephants and riders standing in grassy area in old photograph.,1.984122983870968,mscoco
310629,A bird sitting on some plants in the water.,1.75,mscoco
195,New York Skyline with 'Text to Image' written with fireworks on the sky.,1.75,drawbench
344730,A wrong way sign is posted on a two-way street.,1.625,mscoco
102757,a man and a woman looking at a tablet in a kitchen,2.0,mscoco
535019,An old fashioned passenger train is travelling on the tracks through the countryside.,2.0,mscoco
111004,"An elephant with a lighter color neck and ears, standing in an enclosure.",1.6666666666666667,mscoco
308590,A skateboarder performing a trick at a skateboard park.,1.8166666666666669,mscoco
371426,Little boy with baseball glove waiting for a incoming ball,1.6875,mscoco
541025,"A BATTER, CATCHER, AND UMPIRE NEAR HOME PLATE ",1.8333333333333333,mscoco
239936,A baseball field that has players standing on it.,2.0,mscoco
18614,Two women who are walking by a fire hydrant.,1.5,mscoco
461871,A small bathroom features a toilet and small window.,1.875,mscoco
325584,A bedroom with large windows and the bed in the corner,1.75,mscoco
163176,The rows of bananas on the shelf have a price sign nearby.,1.9,mscoco
117935,a small white boat is at the beach,2.0,mscoco
248141,Man and woman standing up while playing wii.,1.8,mscoco
421744,A Monarch brand airplane taking off from the runway.,1.6666666666666663,mscoco
113638,Zebra grazing on grass in outdoor enclosed area.,0.3,mscoco
549817,Dirty open toilet surrounded by a green metal cabinet and exposed metal pipes.,2.0,mscoco
154752,"Black and white of a wet city sidewalk with pedestrians, mostly from the back, carrying open umbrellas, and on umbrella lying on the sidewalk near a booth and a parked SUV, with buildings.",2.0,mscoco
309797,A bathroom with white counters and a sink under a large mirror.,1.6666666666666667,mscoco
509154,a large giraffe near many bushes in a field ,1.9285714285714288,mscoco
503790,a group of people riding motorcycles on a highway,2.0,mscoco
350670,Young man does a trick in a skate park on his skateboard.,1.95,mscoco
227031,A man cutting a piece of cake on top of  a table.,1.4166666666666663,mscoco
14864,Female tennis player in the motion of hitting a ball. ,1.75,mscoco
306661,A woman and man playing video games in  a room.,2.0,mscoco
517148,a sheep stands next to a baby sheep on some grass,2.0,mscoco
382564,A white table sitting below a window in a room.,2.0,mscoco
543947,A dark wood table in a kitchen with white appliances.,2.0,mscoco
95063,A traffic light with a pedestrian crossing signal.,2.0,mscoco
408465,A woman takes a picture of herself in a public bathroom mirror.,2.0,mscoco
74576,Three computer monitors which are displaying several landscape scenes. ,1.8333333333333333,mscoco
51704,A boy is practicing a jump on a skateboard.,0.3333333333333333,mscoco
164200,People having a donut eating contest at a picnic,2.0,mscoco
305206,A picture of a pitcher in a baseball game.,2.0,mscoco
393054,A modern open concept kitchen and dining room.,2.0,mscoco
78707,A baseball player up at bat with the catcher behind him.,1.75,mscoco
530433,A large red and yellow double decker bus driving down a street.,2.0,mscoco
289260,An old kitchen exhibit in a museum depicting a stove and work area.,1.9245816372682043,mscoco
113701,A UNRAVELED BED WITH A BLUE AND WHITE BED SPREAD,1.6666666666666667,mscoco
263974,a number of people riding bicycles on a street ,2.0,mscoco
337433,Two birds are standing together on a pole near wire.,1.6666666666666663,mscoco
86555,a room with an electric rotating fan near furniture,1.6666666666666663,mscoco
336021,A large truck is parked in front of a cafe,1.5,mscoco
265008,A handicapped bathroom with toilet and wall sink.,0.75,mscoco
414609,A skateboarder hitting a trick in a black and white photo.,0.5,mscoco
460484,A man in a plaid shirt is by himself with a solemn expression.,2.0,mscoco
39864,A brown and white cow in grassy area next to a tree.,2.0,mscoco
234847,"Ovens in a historic bakery, similar to pizza ovens.",1.375,mscoco
553373,Several people gathered around a horse in a field.,2.0,mscoco
72507,An older style black locomotive numbered 473 pullin passenger cabins.,1.0,mscoco
227293,A hotdog with mayonnaise and mustard is on a plate.,1.8333333333333333,mscoco
231581,Two zebras are grazing in a fenced enclosure.,2.0,mscoco
47,One cat and three dogs sitting on the grass.,2.0,drawbench
142,"Painting of the orange cat Otto von Garfield, Count of Bismarck-Schönhausen, Duke of Lauenburg, Minister-President of Prussia. Depicted wearing a Prussian Pickelhaube and eating his favorite meal - lasagna.",2.0,drawbench
576966,Several boats are docked under a tall mountain.,2.0,mscoco
320246,a couple of people on bikes are talking on a platform,1.35,mscoco
355424,A pizza is topped with ham and onions.,2.0,mscoco
276260,A man is riding a brown horse along with a black horse.,1.5833333333333337,mscoco
522637,A man leaning up against a brick wall while talking on a phone.,2.0,mscoco
197461,A woolly sheep stands in the grass looking at the camera. ,2.0,mscoco
67560,A group of people sitting on a couch playing a game on the Nintendo Wii.,1.775,mscoco
101348,a person feeding a cat with a small bottle,1.6428571428571428,mscoco
114945,A tall woman in a pink dress plays tennis.,1.8333333333333333,mscoco
659,Train with bright striped rear with attendants and onlookers on platform.,1.6666666666666663,mscoco
386161,A clock with red hands is mounted on a large sign.,1.6875,mscoco
506470,A living room scene with a table and a television.,1.8333333333333333,mscoco
392058,A black locomotive  on display at a museum,1.9166666666666663,mscoco
467112,Several animals with large horns eat while a zebra drinks from a pond near a tree.,1.65,mscoco
127,A cat on the left of a dog.,1.5,drawbench
6306,Boats docked at a dock on the water ,2.0,mscoco
14252,A male tennis player about to hit the ball,0.5,mscoco
141962,A person with a helmet on a blue motorcycle.,2.0,mscoco
113708,A bird with its mouth open stands on the beach.,1.6666666666666663,mscoco
135226,A large bed in a bedroom with two windows.,1.8333333333333333,mscoco
451767,Black and white photograph of people walking on a sidewalk.,1.9166666666666663,mscoco
471785,Two women eating hot dogs in a eating contest.,2.0,mscoco
510275,A banana peel lies next to a beer bottle.,1.8333333333333333,mscoco
38645,A shade umbrella is anchored in a planter on a deck.,2.0,mscoco
192098,A white building shows through a glass window.,1.6,mscoco
503318,Modern electronic commode displayed in white tiled bathroom.,2.0,mscoco
546632,A giraffe standing alone in a large field.,1.6666666666666663,mscoco
403065,A beach patrol jeep drives along the sand as people wade and fly kites down the beach.,2.0,mscoco
564483,A black dog standing by a frisbee in a field.,2.0,mscoco
495388,Two chili dogs on a food tray with a drink.,1.8333333333333333,mscoco
461561,Several oranges rest in a bowl and on a table.,1.8333333333333333,mscoco
395987,A white and black cat is in a refrigerator.,2.0,mscoco
118974,A small whit dog sitting outside a restaurant.,2.0,mscoco
393176,A pair of scissors and books with a picture on a shelf.,-1.0,mscoco
266369,A woman with a knit hat is holding a cell phone.,2.0,mscoco
353460,A security officer talks on the phone at an outdoor event.,2.0,mscoco
186734,The electronic and personal contents of a persons backpack,2.0,mscoco
103158,A red fire hydrant situated in a landscaped garden. ,2.0,mscoco
484090,A kitchen sink with a toaster sitting next to it on the counter.,1.6666666666666667,mscoco
202131,"a kitchen view of a refridgerator, counter top and stove",1.6666666666666663,mscoco
45464,Pair of skiers with woman posing for photo near lodge.,1.8333333333333333,mscoco
441652,golden retriever gazing at sheep in field from behind gate,1.7593825665859564,mscoco
360540,a yellow scooter parked in front of a store,2.0,mscoco
101750,a black and white photo of a parking meter ,2.0,mscoco
151589,A blue snowboard sitting on top of a snow covered slope.,1.9285714285714288,mscoco
425773,A black and white photo of a coned-off road with a road closed sign.,1.8571428571428568,mscoco
235741,A black and white train engine next to a building.,2.0,mscoco
301643,A man wearing sunglasses and smiling in front of a building.,2.0,mscoco
72284,A dog with glasses on sitting in a bicycle basket.,1.8,mscoco
202622,A vertical view of of a tower reveals a clock and a flag.,1.7166666666666668,mscoco
411451,A white plate with two sandwiches and fries.,1.8333333333333333,mscoco
216443,A tall giraffe peers out from a forest.,2.0,mscoco
437883,A man helps a small child ride on a skateboard. ,1.75,mscoco
270636,A person on a beach flying a kite in the sand.,2.0,mscoco
397109,A bench on a concrete slab overlooking a lake.,1.8333333333333333,mscoco
1785,Many people on the beach with large colorful kites flying in the air.,2.0,mscoco
259186,Two duplicate images show a tennis player swinging at a ball.,1.3333333333333337,mscoco
488243,A group of people are skiing down a snow covered hill.,1.8333333333333333,mscoco
76103,"A room with two beds, television, fireplace and walkout doors.",1.6666666666666667,mscoco
556001,A large brown dog laying on top of a bed.,2.0,mscoco
236162,two cats laying on a couch with books,2.0,mscoco
231093,A bathroom with blue tiles and wooden vanity,2.0,mscoco
244748,"Police standing on a rode with bicycles, motorcycle and a golf cart",1.4666666666666668,mscoco
120285,A modern living room has large bright windows.,2.0,mscoco
78593,A black and white dog jumps to catch a Frisbee.,1.75,mscoco
96716,Several boats docked in a marina at night.,2.0,mscoco
519558,a wooden table with silverware glasses and some food,2.0,mscoco
343394,A woman on the beach is jumping in the air under a kite.,2.0,mscoco
451559,A bicycle sits next to an empty park bench.,2.0,mscoco
260223,a baseball player takes a swing at the ball,2.0,mscoco
150074,A group of young men eating plates of food.,2.0,mscoco
429892,A television mounted on a wall of a commercial kitchen.,1.6666666666666663,mscoco
397353,A blue and white airplane is sitting on the concrete.,2.0,mscoco
297724,A man stands next to food cooking on the stove.,1.8,mscoco
192539,A group of protestors display various anti-Obama propaganda.,1.6666666666666667,mscoco
541558,A fluffy cat with a long tail standing near a bike,0.5,mscoco
138556,A green suitcase sitting on a wooden floor.,2.0,mscoco
53369,A group of elephants stands on a grassy area.,2.0,mscoco
254411,A yellow and blue fire hydrant outside on the grass.,2.0,mscoco
336568,A dog is running alongside a horse in a corral.,1.5666666666666669,mscoco
524692,A group of elephants marches down the city street in front of a large building.,2.0,mscoco
43546,a train on a track near a platform ,2.0,mscoco
349026,Two people on a grassy field flying kites.,2.0,mscoco
125318,A tray of doughnuts is sitting next to a fryer.,1.625,mscoco
575367,a stainless steel oven in a white tiled kitchen,2.0,mscoco
150999,The front of a building with columns and a clock.,1.625,mscoco
286361,A stop sign that has been tagged with graffiti.,1.375,mscoco
457360,A bird on a tree limb with mountains in the background,2.0,mscoco
157300,A wooden bench sitting on a hillside next to a road.,1.8,mscoco
388674,Closeup of a mature elephant in a shady park enclosure.,1.9,mscoco
81001,A tall giraffe is standing by piles of rocks.,1.75,mscoco
317087,A fire hydrant between two red poles sits next to a wall.,1.875,mscoco
535699,A dessert plate that has fruit and cake.,2.0,mscoco
71038,a group of people playing a game of frisbe ,2.0,mscoco
125815,a train sits parked at a train depot ,2.0,mscoco
184550,Laptop sitting on a small table in front of a bed. ,1.8333333333333333,mscoco
154928,A hand holding a remote control pointed at a television.,1.625,mscoco
283131,A bathroom is shown with a bag on the counter.,1.6666666666666667,mscoco
99997,Several trays of pastries sit on a table.,2.0,mscoco
445071,A skate board rider flying off a ramp in a skate park,2.0,mscoco
