,prompt,source,index,caption_id,precision,reciprocal_rank
30,A woman flying a kite on a beach while several people play.,mscoco,2449,84236,0.1,0.53125
31,A giraffe about to eat leaves from a tree,mscoco,3259,739040,0.55,0.625
32,A man who is performing a trick on a skateboard.,mscoco,1019,524938,0.2,0.3
33,"A bedroom with tv, computer, and bookshelves in it.",mscoco,2737,631973,0.05,0.13166666666666665
34,The kitchen counter is covered with various cooking ingredients.,mscoco,5751,367377,0.5,0.41666666666666663
35,Pizza and spinach on a plate on the table.,mscoco,2679,555854,0.6,0.75
36,A small bedroom with a desk and computer in it.,mscoco,2316,769046,0.55,1.0
37,A man lunging down to catch a frisbee on a field.,mscoco,4326,503305,0.05,0.27777777777777773
38,this living room has a brown couch  and a white glass coffee table,mscoco,1892,454234,0.0,0.036274509803921495
39,A view of a sink and commode in a bathroom.,mscoco,5721,502993,0.44999999999999996,0.75
40,A snowboarder rides a bench set up in the snow,mscoco,5897,488281,0.1,0.6
41,A blurry photo shows men sitting in car seats playing Wii at a party.,mscoco,3149,386166,0.0,0.011564223798266299
42,People interact during a soccer match with a large crowd.,mscoco,4787,313355,0.1,0.19298245614035087
43, a man playing with a wii mote ,mscoco,3256,613627,0.8,0.75
44,The healthy food is prepared on the plate ready to be eaten. ,mscoco,5427,525850,0.1,0.5185185185185185
45,A red train traveling over a bridge over a forest.,mscoco,2728,719695,0.25,1.0
46,The skateboarder does an aerial stunt of the stairs in the City.,mscoco,5662,148982,0.3,0.5357142857142857
47,A large elephant walks with a small elephant behind it.,mscoco,1522,433547,0.1,0.506578947368421
48,A group of people are skiing while dressed in costumes.,mscoco,1296,208609,0.2,0.75
49,a blue truck with bicycles tied down in the back,mscoco,2683,138178,0.1,0.6666666666666666
50,A bunch of ducks swimming around in a pond ,mscoco,5258,687581,0.8,1.0
51,An electric train on a bridge crossing a river.,mscoco,4190,231269,0.8,1.0
52,"A bento box with chopsticks containing strawberries, carrots, sandwiches, broccoli, lettuce, and some other foods.",mscoco,5012,56265,0.05,0.52
53,two people cutting a cake on a table,mscoco,5619,58710,0.85,0.75
54,Young man wearing shorts throws a frisbee among trees.,mscoco,5043,770666,0.1,0.1875
55,A red commuter train traveling down train tracks.,mscoco,292,271251,0.15,0.5454545454545454
56,A close-up of a dog in a boat wearing clothing.,mscoco,3453,120797,0.1,0.5833333333333333
57,A white and red train at a train station.,mscoco,3567,310112,0.15000000000000002,0.15555555555555556
58,Hovering cow abducting aliens.,drawbench,29,29,0.0,0.0
59,Colorado Rockies' pitcher about to release ball from mound.,mscoco,5978,81023,0.05,0.5045045045045045
60,People stand on the beach underneath a green kite.,mscoco,1158,603271,0.05,0.5080645161290323
61,A large stack of Fedex boxes on a carpeted floor.,mscoco,2528,653992,0.1,1.0
62,"The girl, a Kuwaiti kite flyer, is very happy ",mscoco,5250,352189,0.05,0.05847457627118641
63,Six different types of doughnuts are arranged in a box.,mscoco,5377,33725,0.4,0.6666666666666666
64,Two yellow and white trains are riding the tracks into a station.,mscoco,2810,211066,0.0,0.0545454545454545
65,A person holding a silver cell phone in their hand.,mscoco,3423,758554,0.05,0.5277777777777778
66,a building with a pole and some street signs,mscoco,2994,667368,0.39999999999999997,0.5555555555555556
67,Two balconies are shown with a stop sign next to them. ,mscoco,599,476889,0.1,0.41666666666666663
68,a person standing in a living room playing nintendo wii,mscoco,5027,485965,0.5,1.0
69,"A tidy corner features a black book shelf, a desk with two computers and a black chair.",mscoco,467,303688,0.0,0.02117953730856955
70,A city bus is stopped at a light on a sunny day.,mscoco,4648,746776,0.0,0.027243589743589702
71,A man is eating a doughnut hanging from a string.,mscoco,4953,220483,0.3,1.0
72,Young adults playing on grassy field with flying disc during match play.,mscoco,1564,482592,0.0,0.027972027972027948
73,"A sitting area with a television, in a hotel room.",mscoco,365,742208,0.45,1.0
74,A black fire hydrant sits between two silver poles on the sidewalk near a building.,mscoco,3540,189238,0.1,0.55
75,A tennis player is preparing to play a game of tennis.,mscoco,2671,667033,0.15,0.265625
76,A man with an orange ribbon clutched in his teeth tucks his ski poles as he races down a slope.,mscoco,529,7952,0.05,0.06339445438282645
77,A woman playing tennis on the tennis court,mscoco,3362,723198,0.6499999999999999,0.75
78,A large kitchen with a metallic refrigerator freezer and a center island.,mscoco,524,676318,0.0,0.01887428378833835
79,A white cat sits below a boot filled shoe rack.,mscoco,95,279593,0.1,1.0
80,Various shots of a woman smiling and messing with a keyboard.,mscoco,5558,201148,0.1,1.0
81,Trash cans are on a sidewalk next to a fire hydrant and fence.,mscoco,4026,721462,0.1,0.5714285714285714
82,An Apple instruction book with a mouse and keyboard next to it.,mscoco,1411,601722,0.25,1.0
83,A cat sticking its head in a toilet.,mscoco,2941,779360,0.6499999999999999,0.75
84,A man stands in a library wearing glasses and a bow tie.,mscoco,425,706312,0.1,1.0
85,A boat filled with people observing a large elephant on land ,mscoco,246,64107,0.1,0.6
86,A man on a boat in the ocean. ,mscoco,655,340415,0.15000000000000002,0.5555555555555556
87,two women standing around and playing a wii game,mscoco,811,694391,0.65,0.75
88,Vehicle and pedestrian traffic at night on a city street.,mscoco,1845,633921,0.0,0.057795698924731145
89,Three giraffes standing around in a zoo enclosure,mscoco,3241,829698,0.3,0.625
90,"Street sign, with name and abbreviation, in front of very old building.",mscoco,1550,815958,0.0,0.0386710239651416
91,Three people with umbrellas walking over a wooden bridge.,mscoco,568,403279,0.2,1.0
92,Animation of a person riding on a motorcycle.,mscoco,1796,805120,0.05,0.2121212121212121
93,"LUNCH TRAY WITH EGG SANDWICH, HASH BROWNS, FRUIT AND CONDIMENTS",mscoco,966,90999,0.2,1.0
94,Woman playing with soccer while children watch intently,mscoco,3141,174001,0.05,0.16854636591478694
95,A yellow and black fire hydrant next to a  red truck.,mscoco,2053,200400,0.1,0.23809523809523805
96,A surfboard on top of a beaten car near the ocean,mscoco,3431,69294,0.1,1.0
97,Several cows grazing in a field under a tree.,mscoco,2892,262148,0.45,0.5833333333333333
98,A tusked elephant eating grass in a zoo enclosure,mscoco,2740,580526,0.1,0.20833333333333331
99,Fresh baked pizza on metal pans being sliced for service.,mscoco,4646,405412,0.05,0.11136363636363636
100,A orange and red train parked at the station.,mscoco,1298,754787,0.0,0.02015250544662305
101,A person preparing sandwiches at a food stand.,mscoco,5192,97157,0.15000000000000002,0.3214285714285714
102,A bird standing on the sand at the beach. ,mscoco,4744,769371,0.75,1.0
103,A horse leans over the fence to talk to a dog.,mscoco,2824,119875,0.1,0.1547619047619047
104,A giraffe standing on grass inside a fenced area.,mscoco,5942,643103,0.39999999999999997,1.0
105,A man in shorts has his foot on a soccer ball.,mscoco,1078,241139,0.1,1.0
106,Adult on skis in snow covered alpine area with tents.,mscoco,4736,651694,0.05,0.5172413793103448
107,A woman in blue shirt holding two cellphones with cars in background.,mscoco,3773,298444,0.0,0.07177033492822965
108,A large herd of sheep are grazing in a field.,mscoco,1367,342804,0.8,0.75
109,A long cargo train is on railroad tracks. ,mscoco,275,4444,0.05,0.5454545454545454
110,A baseball player swings at a low pitch.,mscoco,789,740438,0.0,0.071078431372549
111,a bench sits alone on a field in front of trees. ,mscoco,4801,619414,0.45,1.0
112,A yellow fire hydrant next to a street.,mscoco,666,736234,0.75,1.0
113,A clock is displayed on a white painted tower.,mscoco,4709,624208,0.1,0.23809523809523805
114,A baseball player begins to run while holding the bat.,mscoco,4525,615814,0.15,0.2553763440860215
115,A baseball player getting ready to swing at a baseball game in a stadium packed with people.,mscoco,1528,118938,0.30000000000000004,0.375
116,A person on a snowboard performs a jump while two people watch.,mscoco,5186,742754,0.05,0.26
117,A toilet without a tank is in a bathroom next to a bathtub. ,mscoco,2687,193407,0.0,0.04366987179487175
118,A white toilet sitting under a toilet seat protector.,mscoco,3327,705128,0.1,0.3333333333333333
119,A man wearing glasses while holding a banana.,mscoco,508,672106,0.45,1.0
120,A giraffe standing in a grassy open field.,mscoco,5561,455083,0.45,0.625
121,a group of people walk on a beach with surf boards,mscoco,234,758431,0.7,1.0
122,Two women sitting at a table taking pictures of food.,mscoco,1471,69863,0.1,0.2222222222222222
123,a woman and young child pose on steps with  teddy bear statue,mscoco,3349,92204,0.1,1.0
124,"A plate with a grilled cheese sandwich, french fries, tomatoes, and pickles. ",mscoco,5004,160250,0.25,1.0
125,a woman looking at the banana tree in the garden,mscoco,2874,723140,0.05,0.53125
126,A woman with a swimsuit on sitting with a dog.,mscoco,3989,743715,0.2,0.6
127,Two people are eating breakfast at a restaurant.,mscoco,1944,406288,0.05,0.5078125
128,A young man tossing a white frisbee across a field.,mscoco,2965,801906,0.2,0.1547619047619047
129,Adults hugging in open large field with suitcases.,mscoco,3212,588181,0.05,0.2587719298245614
130,"A fruit stand with apples, bananas, oranges, pineapples, watermelon and grapes. ",mscoco,2339,550503,0.1,0.23809523809523805
131,A green and white traffic sign stands on the corner.,mscoco,2447,787091,0.15,0.10226244343891401
132,Two zebras stand next to each other in a black and white photo. ,mscoco,5889,668886,0.35,0.53125
133,A woman is skiing down a snowy hill.,mscoco,558,130716,0.55,0.75
134,Large brown dog standing next to a person on red scooter. ,mscoco,163,384013,0.25,1.0
135,A man and woman standing in front of a man leaning on a parking meter.,mscoco,2366,65547,0.1,0.3333333333333333
136,Bunches of bananas are being displayed in a decorative bowl.,mscoco,2006,43050,0.2,1.0
137,Herds of okapi and other animals on the African Savannah. ,mscoco,5399,675185,0.0,0.01220238095238095
138,Two people standing up with wii wired controllers.  ,mscoco,2326,251947,0.15000000000000002,0.75
139,A skiier is skiing down a bunny hill slope.,mscoco,4010,51640,0.25,1.0
140,A white refrigerator freezer next to a washer.,mscoco,2370,478762,0.1,0.3214285714285714
141,A small kitchen with glass and wooden cabinets.,mscoco,1493,223293,0.15000000000000002,0.26666666666666666
142,A chocolate donut on a red plate near a beverage cup.,mscoco,182,137150,0.1,1.0
143,A kid eats a sandwich on a picnic bench.,mscoco,2021,529665,0.05,0.13970588235294115
144,A bride and groom cutting a wedding cake.,mscoco,2342,265091,0.9,1.0
145,Two horses are standing together near a fence.,mscoco,3340,737656,0.15,0.2833333333333333
146,Two animated woman and a man standing in a yard.,mscoco,276,328020,0.05,0.5051020408163265
147,An elephant eating hay as a person disperses it out.,mscoco,1812,709933,0.0,0.01264633000085445
148,A Jets transport vehicle near a group of people.,mscoco,2908,654231,0.0,0.0375525210084033
149,Altered photograph of a toddler in a baseball cap on a wooden bench,mscoco,1236,622215,0.05,0.5238095238095238
150,Pizza is sitting on a plate which is sitting on table.,mscoco,4569,529835,0.2,0.75
151,Several people sitting at a large table with papers on it.,mscoco,2214,564927,0.05,0.19999999999999996
152,Riders on horseback travel along the seashore under the pier.,mscoco,4928,805331,0.1,0.75
153,People are riding bicycles and walking across an intersection.,mscoco,1597,618834,0.3,0.6
154,A black dog is tied to a chair arm and looks at the camera.,mscoco,5883,448718,0.05,0.07175925925925924
155,"A bathroom features white, bowl sinks and a bathtub.",mscoco,1409,120390,0.2,0.29166666666666663
156,A boy in a tie poses for a picture. ,mscoco,1223,113021,0.6499999999999999,0.75
157,A living room has modern white furniture and red walls.,mscoco,2341,212759,0.1,0.3125
158,Two giraffes standing in front of the door to a house. ,mscoco,4112,413478,0.3,0.75
159,A dog standing on an opened window ,mscoco,113,537157,0.55,0.75
160,Two women on a tennis court shaking hands ,mscoco,1257,500386,0.4,1.0
161,a bowl of vegetable soup on a table,mscoco,3236,692527,0.30000000000000004,0.6666666666666666
162,two people in the distance carry a surfboard on a beach,mscoco,5388,400448,0.55,0.75
163,A small cow is walking down a path with an adult cow while a man in a red shirt watches.,mscoco,490,676606,0.0,0.008826464041753
164,A large clock is displayed on a building.,mscoco,4305,636831,0.35,1.0
165,"A blue, green, black and white shuttle bus and cars on road",mscoco,2027,314141,0.05,0.2512254901960784
166,A city street with a no parking sign on a post,mscoco,4987,421429,0.25,0.5178571428571428
167,A train locomotive sitting on the tracks at a station.,mscoco,852,203503,0.1,0.15000000000000002
168,A black cat with its head in a blue cup.,mscoco,386,265627,0.15000000000000002,0.5
169,A baseball game with the pitcher in throwing motion and a base runner leading off of first base.,mscoco,1732,727134,0.15000000000000002,0.15555555555555556
170,Three giraffes and three zebras wander around in a field with trees.,mscoco,942,640752,0.05,0.25194552529182873
171,Vase with roses displayed on table alongside electronic computer equipment.,mscoco,2629,482413,0.15000000000000002,0.5714285714285714
172,a close up of a plate of fruit with apples,mscoco,2119,426207,0.1,0.20833333333333331
173,The black and white photo shows an old clock tower.,mscoco,5330,91315,0.3,0.75
174,An emergency response person is on a motorcycle.,mscoco,5544,29816,0.0,0.05050505050505045
175,A man in a black hat standing next to a parking meter.,mscoco,5547,589181,0.25,0.5833333333333333
176,A woman reading a book on a park bench. ,mscoco,1194,586150,0.4,1.0
177,A spinach and cheese pizza with tomato sauce on a plate. ,mscoco,272,557245,0.25,0.6
178,An airplane ascends through a cloud into a blue sky.,mscoco,2440,605609,0.3,0.5555555555555556
179,A white refrigerator freezer sitting inside of a kitchen.,mscoco,5029,701790,0.1,0.41666666666666663
180,"American Airlines' 707 Astrojet was  the first to be commercially successful in the 1960s, cutting travel time   from coast to coast.",mscoco,5977,436029,0.1,0.75
181,"Preparing a pizza topped with grated cheese, tomato sauce and vegetables for baking.",mscoco,2138,107988,0.05,0.0802005012531328
182,Three people are walking in the rain carrying umbrellas. ,mscoco,2548,689122,0.25,0.6666666666666666
183,A green vase with red roses sitting on a table.,mscoco,718,783492,0.1,0.41666666666666663
184,A doughnut covered in nuts sitting in a blue bowl. ,mscoco,4915,475729,0.05,0.2121212121212121
185,Two men posing for pictures with their skis on a mountain.,mscoco,2202,66445,0.55,1.0
186,a snow skier in a yellow jacket is doing a jump,mscoco,3970,581328,0.1,0.1964285714285714
187,Protesters carrying pink parasols and signs in front of a wrought-iron gate.,mscoco,3991,662644,0.05,0.27941176470588236
188,A man walking in the kitchen near a chair. ,mscoco,4590,343746,0.0,0.03625
189,Kitchen cabinets above refrigerator with magnets and notes.,mscoco,4213,679922,0.1,0.21666666666666667
190,A picture of a several individuals walking on a sidewalk in between buildings.,mscoco,4124,91487,0.2,0.1666666666666666
191,Some elephants stand in a zoo exhibit with a small pond.,mscoco,4375,257667,0.35,0.6666666666666666
192,This is an aerial view of people gathered with umbrellas on a rainy street.,mscoco,178,502027,0.44999999999999996,1.0
193,A young girl in a green shirt holds out a tennis racket as an over sized tennis ball hovers over it.,mscoco,1580,300701,0.1,0.29166666666666663
194,"A bathroom area with toilet, toilet paper dispenser and trash can.",mscoco,1990,324060,0.0,0.0526315789473684
195,A man in a red coat skiing down a snow covered hill.,mscoco,4695,431673,0.6,1.0
196,"A fluffy baby sloth with a knitted hat trying to figure out a laptop, close up, highly detailed, studio lighting, screen reflecting in its eyes.",drawbench,146,146,0.0,0.0
197,Men serve themselves pizza out of boxes laid out on a table.,mscoco,1865,27609,0.0,0.03769841269841265
198,There is a bed bunk above some seats on a train.,mscoco,4218,535872,0.05,0.10795454545454544
199,View of residential street at traffic light with orange and white gates and cones in street.,mscoco,4911,543782,0.15,0.5192307692307692
200,An elephant with tusks standing on a path.,mscoco,4963,111876,0.45,1.0
201,A green car and a bus travel down a street. ,mscoco,3331,509377,0.1,0.1741293532338308
202,A woman holds a Wii remote with both hands.,mscoco,3549,258463,0.0,0.01541241496598635
203,some people on a street with umbrellas and some buildings,mscoco,5610,543300,0.5,0.35
204,a person jumping a skate board in the air ,mscoco,1397,760980,0.15000000000000002,0.75
205,A red and orange fire hydrant sits on a snowy street while people are walking by.,mscoco,2196,499588,0.05,0.14545454545454545
206,Dirt bike racing demands regular maintenance prior to a race.,mscoco,5306,749867,0.1,0.55
207,Black cat laying on a green blanket staring at the camera.,mscoco,4276,213511,0.2,0.375
208,A group of motorcyclists are parked in a parking lot.,mscoco,5483,733717,0.05,0.5294117647058824
209,"Two yellow dishes of food, one with rice and the other containing broccoli and an orange and a container of activia next to it.",mscoco,2894,784918,0.1,0.75
210,"Little League baseball players, including a pitcher, a hitter, and two umpires.",mscoco,3895,411373,0.25,0.5625
211,A boy playing a game with a remote controller.,mscoco,1478,708533,0.7,1.0
212,A fire hydrant with a mans face painted on it. ,mscoco,3196,686519,0.1,1.0
213,A small charter plane sitting on a runway.,mscoco,4205,318840,0.5,1.0
214,Several baseball players wearing white sitting on a bench in the dugout next to baseball bats. ,mscoco,5005,308547,0.15000000000000002,0.1666666666666666
215,Various glasses of juices and breakfast foods on a table.,mscoco,4230,118753,0.2,0.55
216,A woman wearing white rides her surfboard on a wave.,mscoco,2340,262950,0.05,0.10694444444444441
217,The personal pizza is next to a plate of french fries.,mscoco,3982,241838,0.25,0.625
218,Two people are on a tennis court playing tennis.,mscoco,2776,490397,0.55,1.0
219,An elephant standing near rocks in front of a building.,mscoco,5600,760635,0.15000000000000002,1.0
220,The child in the black helmet is swinging at a tee ball stand.,mscoco,1978,658772,0.1,0.75
221,A Grizzly bear sits in a field near a river.,mscoco,4618,29736,0.3,0.6666666666666666
222,A street scene with people walking and street signs.,mscoco,248,703953,0.2,0.41666666666666663
223,The black cat is sitting on the unmade bed.,mscoco,2416,626228,0.1,0.6666666666666666
224,A horse grazes on beach grass with a lighthouse in the background.,mscoco,3572,506401,0.2,1.0
225,A large group of people walk under highway signs.,mscoco,1271,107376,0.25,1.0
226,A toast and tomato breakfast with orange juice.,mscoco,1781,541586,0.05,0.2763157894736842
227,A street scene with focus on a gray and red fire hydrant.,mscoco,3320,153116,0.0,0.0088583428789614
228,A large group of motorcycle riders travel on the highway.,mscoco,3269,352889,0.25,0.75
229,A man standing in a room with an aquarium ,mscoco,2656,525106,0.1,0.1845238095238095
230,A home computer and coffee mug on a desk.,mscoco,3760,288986,0.1,1.0
231,"A steep incline of snow, a strip of sky and what looks like a large red strut sticking out of the snow make a setting for a helmeted skier in otherwise regular clothes in a twisted posture the points of his or her skis ascending the slope. ",mscoco,4641,775911,0.0,0.00465838509316765
232,An empty playground with three small wood benches and money bars. ,mscoco,2961,331827,0.1,0.35
233,People with horse drawn carriage on side of city street.,mscoco,2406,767064,0.65,0.6666666666666666
234,Zebras racing each other in their zoo enclosure,mscoco,5123,94562,0.15,0.5416666666666666
235,A cross-country skier in the snow under a tree.,mscoco,4777,129752,0.3,0.5
236,"A woman is standing on a surfboard, riding a wave.",mscoco,2968,700643,0.7,0.75
237,"A sjmall domesticated carnivorious mammnal with sof fuh,y a sthort sout, and retracwtablbe flaws. It iw widexly kept as a pet or for catchitng mic, ad many breeds zhlyde beefn develvoked.",drawbench,110,110,0.1,0.24999999999999994
238,An orange cat sitting at corner of desk next to a keyboard.,mscoco,1643,343178,0.05,0.53125
239,A woman talking on a cell phone with a smile.,mscoco,5982,201302,0.85,1.0
240,A close up of a man wearing glasses eating a hot dog.,mscoco,2114,187145,0.3,1.0
241,A large display of stuffed animals are on a pink cloth.,mscoco,5521,211157,0.05,0.53125
242,"A tiger in a lab coat with a 1980s Miami vibe, turning a well oiled science content machine, digital art.",drawbench,147,147,0.0,0.0
243,Players and officials standing around on an indoor tennis court.,mscoco,5999,733632,0.2,1.0
244,a white and black parked motorcycle and some other parked bikes,mscoco,5742,458942,0.05,0.27
245,People are on the beach with chairs and colorful umbrellas.,mscoco,5290,381982,0.8,1.0
246,Many large jets are parked at the airport loading area.,mscoco,3125,391939,0.05,0.0736111111111111
247,people standing around a table set up with many boxes of pizza ,mscoco,848,289639,0.5,0.6666666666666666
248,a shelf with some flowers a vase a clock and a television,mscoco,4298,444238,0.1,0.6
249,A steak and several hotdogs cook on a grill.,mscoco,5929,50904,0.15000000000000002,0.41666666666666663
250,A group of sheep are shown under a tree.,mscoco,2896,33471,0.8500000000000001,1.0
251,A large bowl of bananas and oranges in a room.,mscoco,4962,323555,0.1,0.5555555555555556
252,A large box filled with assorted fruits and vegetables.,mscoco,692,240091,0.45,0.75
253,Several glazed doughnuts in a white box container.,mscoco,5665,254209,0.65,0.75
254,The man is standing in front of a television near a bed. ,mscoco,5862,737369,0.1,0.5625
255,A cell phone sits on a desk next to a green box.,mscoco,5479,111471,0.1,0.75
256,A row of chairs and umbrellas on a beach.,mscoco,391,792769,0.65,1.0
257,A young boy in a baseball uniform is swinging a baseball bat.,mscoco,1879,593558,0.6,0.75
258,Old photograph depicting major league baseball player at stadium.,mscoco,1406,707547,0.35,1.0
259,Elephants and riders standing in grassy area in old photograph.,mscoco,3074,626150,0.1,0.26666666666666666
260,A bird sitting on some plants in the water.,mscoco,3720,731878,0.1,0.29166666666666663
261,New York Skyline with 'Text to Image' written with fireworks on the sky.,drawbench,195,195,0.0,0.0
262,A wrong way sign is posted on a two-way street.,mscoco,2762,58886,0.1,0.41666666666666663
263,a man and a woman looking at a tablet in a kitchen,mscoco,4061,118819,0.1,1.0
264,An old fashioned passenger train is travelling on the tracks through the countryside.,mscoco,412,619674,0.55,1.0
265,"An elephant with a lighter color neck and ears, standing in an enclosure.",mscoco,3163,615262,0.0,0.0343468468468468
266,A skateboarder performing a trick at a skateboard park.,mscoco,2592,668215,0.44999999999999996,0.35
267,Little boy with baseball glove waiting for a incoming ball,mscoco,2930,168300,0.5,0.6
268,"A BATTER, CATCHER, AND UMPIRE NEAR HOME PLATE ",mscoco,5640,56123,0.3,0.35
269,A baseball field that has players standing on it.,mscoco,3655,754711,0.5,1.0
270,Two women who are walking by a fire hydrant.,mscoco,3635,744871,0.05,0.09353741496598635
271,A small bathroom features a toilet and small window.,mscoco,3179,634039,0.05,0.12179487179487175
272,A bedroom with large windows and the bed in the corner,mscoco,907,611253,0.05,0.0692307692307692
273,The rows of bananas on the shelf have a price sign nearby.,mscoco,5257,455208,0.55,1.0
274,a small white boat is at the beach,mscoco,2203,601402,0.35,1.0
275,Man and woman standing up while playing wii.,mscoco,3344,120083,0.55,0.75
276,A Monarch brand airplane taking off from the runway.,mscoco,920,403805,0.05,0.0786749482401656
277,Zebra grazing on grass in outdoor enclosed area.,mscoco,239,552408,0.05,0.09774436090225559
278,Dirty open toilet surrounded by a green metal cabinet and exposed metal pipes.,mscoco,4869,413127,0.0,0.06346153846153846
279,"Black and white of a wet city sidewalk with pedestrians, mostly from the back, carrying open umbrellas, and on umbrella lying on the sidewalk near a booth and a parked SUV, with buildings.",mscoco,4853,765426,0.05,0.5019305019305019
280,A bathroom with white counters and a sink under a large mirror.,mscoco,5274,215692,0.15000000000000002,1.0
281,a large giraffe near many bushes in a field ,mscoco,3865,732561,0.15000000000000002,0.5833333333333333
282,a group of people riding motorcycles on a highway,mscoco,1147,128036,0.5,0.5
283,Young man does a trick in a skate park on his skateboard.,mscoco,5469,411745,0.35,0.41666666666666663
284,A man cutting a piece of cake on top of  a table.,mscoco,4188,632430,0.44999999999999996,0.6
285,Female tennis player in the motion of hitting a ball. ,mscoco,4358,28593,0.3,0.25
286,A woman and man playing video games in  a room.,mscoco,2207,47841,0.5,0.41666666666666663
287,a sheep stands next to a baby sheep on some grass,mscoco,2347,517679,0.8,1.0
288,A white table sitting below a window in a room.,mscoco,3476,588773,0.05,0.5056179775280899
289,A dark wood table in a kitchen with white appliances.,mscoco,1024,211077,0.05,0.5010309278350515
290,A traffic light with a pedestrian crossing signal.,mscoco,677,213868,0.1,0.10795454545454544
291,A woman takes a picture of herself in a public bathroom mirror.,mscoco,5432,603977,0.6,0.75
292,Three computer monitors which are displaying several landscape scenes. ,mscoco,5208,297484,0.1,0.375
293,A boy is practicing a jump on a skateboard.,mscoco,5777,560234,0.15,0.16346153846153844
294,People having a donut eating contest at a picnic,mscoco,4028,387971,0.1,0.625
295,A picture of a pitcher in a baseball game.,mscoco,5832,147132,0.35,0.1547619047619047
296,A modern open concept kitchen and dining room.,mscoco,4579,792143,0.45,1.0
297,A baseball player up at bat with the catcher behind him.,mscoco,4089,385456,0.15000000000000002,0.20833333333333331
298,A large red and yellow double decker bus driving down a street.,mscoco,2630,98367,0.25,0.5714285714285714
299,An old kitchen exhibit in a museum depicting a stove and work area.,mscoco,1342,715201,0.1,0.5833333333333333
300,A UNRAVELED BED WITH A BLUE AND WHITE BED SPREAD,mscoco,3274,643630,0.1,1.0
301,a number of people riding bicycles on a street ,mscoco,1060,662785,0.8500000000000001,1.0
302,Two birds are standing together on a pole near wire.,mscoco,340,738070,0.15000000000000002,0.13888888888888884
303,a room with an electric rotating fan near furniture,mscoco,2991,34756,0.1,0.5625
304,A large truck is parked in front of a cafe,mscoco,1502,390714,0.0,0.05408653846153845
305,A handicapped bathroom with toilet and wall sink.,mscoco,3435,374390,0.15000000000000002,0.75
306,A skateboarder hitting a trick in a black and white photo.,mscoco,5545,696097,0.44999999999999996,0.75
307,A man in a plaid shirt is by himself with a solemn expression.,mscoco,1076,663793,0.0,0.051315789473684204
308,A brown and white cow in grassy area next to a tree.,mscoco,108,373915,0.44999999999999996,0.6666666666666666
309,"Ovens in a historic bakery, similar to pizza ovens.",mscoco,4195,283322,0.05,0.09126984126984125
310,Several people gathered around a horse in a field.,mscoco,2632,258640,0.15,0.2121212121212121
311,An older style black locomotive numbered 473 pullin passenger cabins.,mscoco,3244,267387,0.0,0.04015151515151515
