,prompt,source,index,precision,reciprocal_rank,caption_id
41,A blurry photo shows men sitting in car seats playing Wii at a party.,mscoco,3149,0.0,0.001851851851851852,386166
42,People interact during a soccer match with a large crowd.,mscoco,4787,0.2,0.3333333333333333,313355
43, a man playing with a wii mote ,mscoco,3256,0.9,1.0,613627
44,The healthy food is prepared on the plate ready to be eaten. ,mscoco,5427,0.2,1.0,525850
45,A red train traveling over a bridge over a forest.,mscoco,2728,0.3,1.0,719695
46,The skateboarder does an aerial stunt of the stairs in the City.,mscoco,5662,0.6,1.0,148982
47,A large elephant walks with a small elephant behind it.,mscoco,1522,0.2,1.0,433547
48,A group of people are skiing while dressed in costumes.,mscoco,1296,0.3,1.0,208609
49,a blue truck with bicycles tied down in the back,mscoco,2683,0.1,0.3333333333333333,138178
50,A bunch of ducks swimming around in a pond ,mscoco,5258,0.9,1.0,687581
51,An electric train on a bridge crossing a river.,mscoco,4190,0.9,1.0,231269
52,"A bento box with chopsticks containing strawberries, carrots, sandwiches, broccoli, lettuce, and some other foods.",mscoco,5012,0.1,1.0,56265
53,two people cutting a cake on a table,mscoco,5619,1.0,1.0,58710
54,Young man wearing shorts throws a frisbee among trees.,mscoco,5043,0.1,0.125,770666
55,A red commuter train traveling down train tracks.,mscoco,292,0.3,1.0,271251
56,A close-up of a dog in a boat wearing clothing.,mscoco,3453,0.1,0.16666666666666666,120797
57,A white and red train at a train station.,mscoco,3567,0.2,0.2,310112
58,Hovering cow abducting aliens.,drawbench,29,0.0,0.0,29
59,Colorado Rockies' pitcher about to release ball from mound.,mscoco,5978,0.1,1.0,81023
60,People stand on the beach underneath a green kite.,mscoco,1158,0.1,1.0,603271
61,A large stack of Fedex boxes on a carpeted floor.,mscoco,2528,0.1,1.0,653992
62,"The girl, a Kuwaiti kite flyer, is very happy ",mscoco,5250,0.0,0.01694915254237288,352189
63,Six different types of doughnuts are arranged in a box.,mscoco,5377,0.4,1.0,33725
64,Two yellow and white trains are riding the tracks into a station.,mscoco,2810,0.0,0.09090909090909091,211066
65,A person holding a silver cell phone in their hand.,mscoco,3423,0.1,1.0,758554
66,a building with a pole and some street signs,mscoco,2994,0.7,1.0,667368
67,Two balconies are shown with a stop sign next to them. ,mscoco,599,0.1,0.5,476889
68,a person standing in a living room playing nintendo wii,mscoco,5027,0.6,1.0,485965
69,"A tidy corner features a black book shelf, a desk with two computers and a black chair.",mscoco,467,0.0,0.03225806451612903,303688
70,A city bus is stopped at a light on a sunny day.,mscoco,4648,0.0,0.041666666666666664,746776
71,A man is eating a doughnut hanging from a string.,mscoco,4953,0.3,1.0,220483
72,Young adults playing on grassy field with flying disc during match play.,mscoco,1564,0.0,0.02564102564102564,482592
73,"A sitting area with a television, in a hotel room.",mscoco,365,0.5,1.0,742208
74,A black fire hydrant sits between two silver poles on the sidewalk near a building.,mscoco,3540,0.1,1.0,189238
75,A tennis player is preparing to play a game of tennis.,mscoco,2671,0.3,0.5,667033
76,A man with an orange ribbon clutched in his teeth tucks his ski poles as he races down a slope.,mscoco,529,0.1,0.125,7952
77,A woman playing tennis on the tennis court,mscoco,3362,0.7,0.5,723198
78,A large kitchen with a metallic refrigerator freezer and a center island.,mscoco,524,0.0,0.014492753623188406,676318
79,A white cat sits below a boot filled shoe rack.,mscoco,95,0.1,1.0,279593
80,Various shots of a woman smiling and messing with a keyboard.,mscoco,5558,0.1,1.0,201148
81,Trash cans are on a sidewalk next to a fire hydrant and fence.,mscoco,4026,0.1,1.0,721462
82,An Apple instruction book with a mouse and keyboard next to it.,mscoco,1411,0.3,1.0,601722
83,A cat sticking its head in a toilet.,mscoco,2941,0.7,1.0,779360
84,A man stands in a library wearing glasses and a bow tie.,mscoco,425,0.1,1.0,706312
85,A boat filled with people observing a large elephant on land ,mscoco,246,0.1,1.0,64107
86,A man on a boat in the ocean. ,mscoco,655,0.1,0.1111111111111111,340415
87,two women standing around and playing a wii game,mscoco,811,1.0,1.0,694391
88,Vehicle and pedestrian traffic at night on a city street.,mscoco,1845,0.0,0.03225806451612903,633921
89,Three giraffes standing around in a zoo enclosure,mscoco,3241,0.3,1.0,829698
90,"Street sign, with name and abbreviation, in front of very old building.",mscoco,1550,0.0,0.058823529411764705,815958
91,Three people with umbrellas walking over a wooden bridge.,mscoco,568,0.2,1.0,403279
92,Animation of a person riding on a motorcycle.,mscoco,1796,0.0,0.09090909090909091,805120
93,"LUNCH TRAY WITH EGG SANDWICH, HASH BROWNS, FRUIT AND CONDIMENTS",mscoco,966,0.2,1.0,90999
94,Woman playing with soccer while children watch intently,mscoco,3141,0.1,0.3333333333333333,174001
95,A yellow and black fire hydrant next to a  red truck.,mscoco,2053,0.1,0.3333333333333333,200400
96,A surfboard on top of a beaten car near the ocean,mscoco,3431,0.1,1.0,69294
97,Several cows grazing in a field under a tree.,mscoco,2892,0.4,0.16666666666666666,262148
98,A tusked elephant eating grass in a zoo enclosure,mscoco,2740,0.0,0.08333333333333333,580526
99,Fresh baked pizza on metal pans being sliced for service.,mscoco,4646,0.0,0.022727272727272728,405412
100,A orange and red train parked at the station.,mscoco,1298,0.0,0.037037037037037035,754787
101,A person preparing sandwiches at a food stand.,mscoco,5192,0.2,0.5,97157
102,A bird standing on the sand at the beach. ,mscoco,4744,0.9,1.0,769371
103,A horse leans over the fence to talk to a dog.,mscoco,2824,0.1,0.14285714285714285,119875
104,A giraffe standing on grass inside a fenced area.,mscoco,5942,0.7,1.0,643103
105,A man in shorts has his foot on a soccer ball.,mscoco,1078,0.1,1.0,241139
106,Adult on skis in snow covered alpine area with tents.,mscoco,4736,0.1,1.0,651694
107,A woman in blue shirt holding two cellphones with cars in background.,mscoco,3773,0.0,0.05263157894736842,298444
108,A large herd of sheep are grazing in a field.,mscoco,1367,1.0,1.0,342804
109,A long cargo train is on railroad tracks. ,mscoco,275,0.1,1.0,4444
110,A baseball player swings at a low pitch.,mscoco,789,0.0,0.08333333333333333,740438
111,a bench sits alone on a field in front of trees. ,mscoco,4801,0.5,1.0,619414
112,A yellow fire hydrant next to a street.,mscoco,666,0.6,1.0,736234
113,A clock is displayed on a white painted tower.,mscoco,4709,0.1,0.3333333333333333,624208
114,A baseball player begins to run while holding the bat.,mscoco,4525,0.3,0.5,615814
115,A baseball player getting ready to swing at a baseball game in a stadium packed with people.,mscoco,1528,0.4,0.5,118938
116,A person on a snowboard performs a jump while two people watch.,mscoco,5186,0.1,0.5,742754
117,A toilet without a tank is in a bathroom next to a bathtub. ,mscoco,2687,0.0,0.07692307692307693,193407
118,A white toilet sitting under a toilet seat protector.,mscoco,3327,0.1,0.5,705128
119,A man wearing glasses while holding a banana.,mscoco,508,0.5,1.0,672106
120,A giraffe standing in a grassy open field.,mscoco,5561,0.8,1.0,455083
121,a group of people walk on a beach with surf boards,mscoco,234,0.6,1.0,758431
122,Two women sitting at a table taking pictures of food.,mscoco,1471,0.1,0.3333333333333333,69863
123,a woman and young child pose on steps with  teddy bear statue,mscoco,3349,0.1,1.0,92204
124,"A plate with a grilled cheese sandwich, french fries, tomatoes, and pickles. ",mscoco,5004,0.2,1.0,160250
125,a woman looking at the banana tree in the garden,mscoco,2874,0.1,1.0,723140
126,A woman with a swimsuit on sitting with a dog.,mscoco,3989,0.2,0.2,743715
127,Two people are eating breakfast at a restaurant.,mscoco,1944,0.1,1.0,406288
128,A young man tossing a white frisbee across a field.,mscoco,2965,0.3,0.16666666666666666,801906
129,Adults hugging in open large field with suitcases.,mscoco,3212,0.1,0.5,588181
130,"A fruit stand with apples, bananas, oranges, pineapples, watermelon and grapes. ",mscoco,2339,0.1,0.3333333333333333,550503
131,A green and white traffic sign stands on the corner.,mscoco,2447,0.3,0.2,787091
132,Two zebras stand next to each other in a black and white photo. ,mscoco,5889,0.7,1.0,668886
133,A woman is skiing down a snowy hill.,mscoco,558,0.9,1.0,130716
134,Large brown dog standing next to a person on red scooter. ,mscoco,163,0.2,1.0,384013
135,A man and woman standing in front of a man leaning on a parking meter.,mscoco,2366,0.1,0.5,65547
136,Bunches of bananas are being displayed in a decorative bowl.,mscoco,2006,0.3,1.0,43050
137,Herds of okapi and other animals on the African Savannah. ,mscoco,5399,0.0,0.0125,675185
138,Two people standing up with wii wired controllers.  ,mscoco,2326,0.2,0.5,251947
139,A skiier is skiing down a bunny hill slope.,mscoco,4010,0.3,1.0,51640
140,A white refrigerator freezer next to a washer.,mscoco,2370,0.1,0.14285714285714285,478762
141,A small kitchen with glass and wooden cabinets.,mscoco,1493,0.2,0.3333333333333333,223293
142,A chocolate donut on a red plate near a beverage cup.,mscoco,182,0.1,1.0,137150
143,A kid eats a sandwich on a picnic bench.,mscoco,2021,0.1,0.25,529665
144,A bride and groom cutting a wedding cake.,mscoco,2342,0.9,1.0,265091
145,Two horses are standing together near a fence.,mscoco,3340,0.3,0.5,737656
146,Two animated woman and a man standing in a yard.,mscoco,276,0.1,1.0,328020
147,An elephant eating hay as a person disperses it out.,mscoco,1812,0.0,0.02127659574468085,709933
148,A Jets transport vehicle near a group of people.,mscoco,2908,0.0,0.07142857142857142,654231
149,Altered photograph of a toddler in a baseball cap on a wooden bench,mscoco,1236,0.1,1.0,622215
150,Pizza is sitting on a plate which is sitting on table.,mscoco,4569,0.2,1.0,529835
151,Several people sitting at a large table with papers on it.,mscoco,2214,0.0,0.06666666666666667,564927
152,Riders on horseback travel along the seashore under the pier.,mscoco,4928,0.1,1.0,805331
153,People are riding bicycles and walking across an intersection.,mscoco,1597,0.5,1.0,618834
154,A black dog is tied to a chair arm and looks at the camera.,mscoco,5883,0.1,0.125,448718
155,"A bathroom features white, bowl sinks and a bathtub.",mscoco,1409,0.2,0.3333333333333333,120390
156,A boy in a tie poses for a picture. ,mscoco,1223,0.7,1.0,113021
157,A living room has modern white furniture and red walls.,mscoco,2341,0.1,0.5,212759
158,Two giraffes standing in front of the door to a house. ,mscoco,4112,0.5,1.0,413478
159,A dog standing on an opened window ,mscoco,113,0.4,1.0,537157
160,Two women on a tennis court shaking hands ,mscoco,1257,0.6,1.0,500386
161,a bowl of vegetable soup on a table,mscoco,3236,0.4,0.3333333333333333,692527
162,two people in the distance carry a surfboard on a beach,mscoco,5388,0.6,1.0,400448
163,A small cow is walking down a path with an adult cow while a man in a red shirt watches.,mscoco,490,0.0,0.009900990099009901,676606
164,A large clock is displayed on a building.,mscoco,4305,0.1,1.0,636831
165,"A blue, green, black and white shuttle bus and cars on road",mscoco,2027,0.1,0.5,314141
166,A city street with a no parking sign on a post,mscoco,4987,0.5,1.0,421429
167,A train locomotive sitting on the tracks at a station.,mscoco,852,0.1,0.2,203503
168,A black cat with its head in a blue cup.,mscoco,386,0.1,0.5,265627
169,A baseball game with the pitcher in throwing motion and a base runner leading off of first base.,mscoco,1732,0.2,0.2,727134
170,Three giraffes and three zebras wander around in a field with trees.,mscoco,942,0.1,0.5,640752
171,Vase with roses displayed on table alongside electronic computer equipment.,mscoco,2629,0.1,0.14285714285714285,482413
172,a close up of a plate of fruit with apples,mscoco,2119,0.1,0.25,426207
173,The black and white photo shows an old clock tower.,mscoco,5330,0.3,0.5,91315
174,An emergency response person is on a motorcycle.,mscoco,5544,0.0,0.05555555555555555,29816
175,A man in a black hat standing next to a parking meter.,mscoco,5547,0.4,1.0,589181
176,A woman reading a book on a park bench. ,mscoco,1194,0.5,1.0,586150
177,A spinach and cheese pizza with tomato sauce on a plate. ,mscoco,272,0.4,1.0,557245
178,An airplane ascends through a cloud into a blue sky.,mscoco,2440,0.5,1.0,605609
179,A white refrigerator freezer sitting inside of a kitchen.,mscoco,5029,0.1,0.5,701790
180,"American Airlines' 707 Astrojet was  the first to be commercially successful in the 1960s, cutting travel time   from coast to coast.",mscoco,5977,0.1,0.5,436029
181,"Preparing a pizza topped with grated cheese, tomato sauce and vegetables for baking.",mscoco,2138,0.0,0.017543859649122806,107988
182,Three people are walking in the rain carrying umbrellas. ,mscoco,2548,0.3,1.0,689122
183,A green vase with red roses sitting on a table.,mscoco,718,0.1,0.3333333333333333,783492
184,A doughnut covered in nuts sitting in a blue bowl. ,mscoco,4915,0.0,0.09090909090909091,475729
185,Two men posing for pictures with their skis on a mountain.,mscoco,2202,0.7,1.0,66445
186,a snow skier in a yellow jacket is doing a jump,mscoco,3970,0.1,0.25,581328
187,Protesters carrying pink parasols and signs in front of a wrought-iron gate.,mscoco,3991,0.0,0.058823529411764705,662644
188,A man walking in the kitchen near a chair. ,mscoco,4590,0.0,0.0625,343746
189,Kitchen cabinets above refrigerator with magnets and notes.,mscoco,4213,0.1,0.1,679922
190,A picture of a several individuals walking on a sidewalk in between buildings.,mscoco,4124,0.3,0.16666666666666666,91487
191,Some elephants stand in a zoo exhibit with a small pond.,mscoco,4375,0.5,1.0,257667
192,This is an aerial view of people gathered with umbrellas on a rainy street.,mscoco,178,0.6,1.0,502027
193,A young girl in a green shirt holds out a tennis racket as an over sized tennis ball hovers over it.,mscoco,1580,0.1,0.25,300701
194,"A bathroom area with toilet, toilet paper dispenser and trash can.",mscoco,1990,0.0,0.05263157894736842,324060
195,A man in a red coat skiing down a snow covered hill.,mscoco,4695,0.6,1.0,431673
196,"A fluffy baby sloth with a knitted hat trying to figure out a laptop, close up, highly detailed, studio lighting, screen reflecting in its eyes.",drawbench,146,0.0,0.0,146
197,Men serve themselves pizza out of boxes laid out on a table.,mscoco,1865,0.0,0.027777777777777776,27609
198,There is a bed bunk above some seats on a train.,mscoco,4218,0.1,0.125,535872
199,View of residential street at traffic light with orange and white gates and cones in street.,mscoco,4911,0.3,1.0,543782
200,An elephant with tusks standing on a path.,mscoco,4963,0.5,1.0,111876
201,A green car and a bus travel down a street. ,mscoco,3331,0.2,0.3333333333333333,509377
202,A woman holds a Wii remote with both hands.,mscoco,3549,0.0,0.02040816326530612,258463
203,some people on a street with umbrellas and some buildings,mscoco,5610,0.7,0.5,543300
204,a person jumping a skate board in the air ,mscoco,1397,0.2,0.5,760980
205,A red and orange fire hydrant sits on a snowy street while people are walking by.,mscoco,2196,0.1,0.2,499588
206,Dirt bike racing demands regular maintenance prior to a race.,mscoco,5306,0.1,0.1,749867
207,Black cat laying on a green blanket staring at the camera.,mscoco,4276,0.2,0.5,213511
208,A group of motorcyclists are parked in a parking lot.,mscoco,5483,0.1,1.0,733717
209,"Two yellow dishes of food, one with rice and the other containing broccoli and an orange and a container of activia next to it.",mscoco,2894,0.1,0.5,784918
210,"Little League baseball players, including a pitcher, a hitter, and two umpires.",mscoco,3895,0.4,1.0,411373
211,A boy playing a game with a remote controller.,mscoco,1478,0.9,1.0,708533
212,A fire hydrant with a mans face painted on it. ,mscoco,3196,0.1,1.0,686519
213,A small charter plane sitting on a runway.,mscoco,4205,0.5,1.0,318840
214,Several baseball players wearing white sitting on a bench in the dugout next to baseball bats. ,mscoco,5005,0.2,0.16666666666666666,308547
215,Various glasses of juices and breakfast foods on a table.,mscoco,4230,0.3,1.0,118753
216,A woman wearing white rides her surfboard on a wave.,mscoco,2340,0.1,0.2,262950
217,The personal pizza is next to a plate of french fries.,mscoco,3982,0.1,0.25,241838
218,Two people are on a tennis court playing tennis.,mscoco,2776,0.6,1.0,490397
219,An elephant standing near rocks in front of a building.,mscoco,5600,0.2,1.0,760635
220,The child in the black helmet is swinging at a tee ball stand.,mscoco,1978,0.1,1.0,658772
221,A Grizzly bear sits in a field near a river.,mscoco,4618,0.3,1.0,29736
222,A street scene with people walking and street signs.,mscoco,248,0.2,0.5,703953
223,The black cat is sitting on the unmade bed.,mscoco,2416,0.1,0.3333333333333333,626228
224,A horse grazes on beach grass with a lighthouse in the background.,mscoco,3572,0.2,1.0,506401
225,A large group of people walk under highway signs.,mscoco,1271,0.3,1.0,107376
226,A toast and tomato breakfast with orange juice.,mscoco,1781,0.0,0.05263157894736842,541586
227,A street scene with focus on a gray and red fire hydrant.,mscoco,3320,0.0,0.007407407407407408,153116
228,A large group of motorcycle riders travel on the highway.,mscoco,3269,0.2,1.0,352889
229,A man standing in a room with an aquarium ,mscoco,2656,0.2,0.3333333333333333,525106
230,A home computer and coffee mug on a desk.,mscoco,3760,0.1,1.0,288986
231,"A steep incline of snow, a strip of sky and what looks like a large red strut sticking out of the snow make a setting for a helmeted skier in otherwise regular clothes in a twisted posture the points of his or her skis ascending the slope. ",mscoco,4641,0.0,0.007142857142857143,775911
232,An empty playground with three small wood benches and money bars. ,mscoco,2961,0.1,0.5,331827
233,People with horse drawn carriage on side of city street.,mscoco,2406,0.9,1.0,767064
234,Zebras racing each other in their zoo enclosure,mscoco,5123,0.3,1.0,94562
235,A cross-country skier in the snow under a tree.,mscoco,4777,0.3,0.5,129752
236,"A woman is standing on a surfboard, riding a wave.",mscoco,2968,0.8,0.5,700643
237,"A sjmall domesticated carnivorious mammnal with sof fuh,y a sthort sout, and retracwtablbe flaws. It iw widexly kept as a pet or for catchitng mic, ad many breeds zhlyde beefn develvoked.",drawbench,110,0.1,0.3333333333333333,110
238,An orange cat sitting at corner of desk next to a keyboard.,mscoco,1643,0.0,0.0625,343178
239,A woman talking on a cell phone with a smile.,mscoco,5982,1.0,1.0,201302
240,A close up of a man wearing glasses eating a hot dog.,mscoco,2114,0.3,1.0,187145
241,A large display of stuffed animals are on a pink cloth.,mscoco,5521,0.1,1.0,211157
242,"A tiger in a lab coat with a 1980s Miami vibe, turning a well oiled science content machine, digital art.",drawbench,147,0.0,0.0,147
243,Players and officials standing around on an indoor tennis court.,mscoco,5999,0.3,1.0,733632
244,a white and black parked motorcycle and some other parked bikes,mscoco,5742,0.1,0.5,458942
245,People are on the beach with chairs and colorful umbrellas.,mscoco,5290,0.8,1.0,381982
246,Many large jets are parked at the airport loading area.,mscoco,3125,0.1,0.125,391939
247,people standing around a table set up with many boxes of pizza ,mscoco,848,0.5,0.3333333333333333,289639
248,a shelf with some flowers a vase a clock and a television,mscoco,4298,0.1,0.2,444238
249,A steak and several hotdogs cook on a grill.,mscoco,5929,0.2,0.5,50904
250,A group of sheep are shown under a tree.,mscoco,2896,0.8,1.0,33471
251,A large bowl of bananas and oranges in a room.,mscoco,4962,0.1,1.0,323555
252,A large box filled with assorted fruits and vegetables.,mscoco,692,0.5,0.5,240091
253,Several glazed doughnuts in a white box container.,mscoco,5665,0.9,1.0,254209
254,The man is standing in front of a television near a bed. ,mscoco,5862,0.1,0.125,737369
255,A cell phone sits on a desk next to a green box.,mscoco,5479,0.1,0.5,111471
256,A row of chairs and umbrellas on a beach.,mscoco,391,1.0,1.0,792769
257,A young boy in a baseball uniform is swinging a baseball bat.,mscoco,1879,0.9,1.0,593558
258,Old photograph depicting major league baseball player at stadium.,mscoco,1406,0.5,1.0,707547
259,Elephants and riders standing in grassy area in old photograph.,mscoco,3074,0.1,0.2,626150
260,A bird sitting on some plants in the water.,mscoco,3720,0.1,0.3333333333333333,731878
261,New York Skyline with 'Text to Image' written with fireworks on the sky.,drawbench,195,0.0,0.0,195
262,A wrong way sign is posted on a two-way street.,mscoco,2762,0.1,0.3333333333333333,58886
263,a man and a woman looking at a tablet in a kitchen,mscoco,4061,0.1,1.0,118819
264,An old fashioned passenger train is travelling on the tracks through the countryside.,mscoco,412,0.5,1.0,619674
265,"An elephant with a lighter color neck and ears, standing in an enclosure.",mscoco,3163,0.0,0.041666666666666664,615262
266,A skateboarder performing a trick at a skateboard park.,mscoco,2592,0.6,0.5,668215
267,Little boy with baseball glove waiting for a incoming ball,mscoco,2930,0.8,1.0,168300
268,"A BATTER, CATCHER, AND UMPIRE NEAR HOME PLATE ",mscoco,5640,0.3,0.5,56123
269,A baseball field that has players standing on it.,mscoco,3655,0.6,1.0,754711
270,Two women who are walking by a fire hydrant.,mscoco,3635,0.1,0.16666666666666666,744871
271,A small bathroom features a toilet and small window.,mscoco,3179,0.1,0.16666666666666666,634039
272,A bedroom with large windows and the bed in the corner,mscoco,907,0.1,0.1,611253
273,The rows of bananas on the shelf have a price sign nearby.,mscoco,5257,0.4,1.0,455208
274,a small white boat is at the beach,mscoco,2203,0.6,1.0,601402
275,Man and woman standing up while playing wii.,mscoco,3344,0.6,0.5,120083
276,A Monarch brand airplane taking off from the runway.,mscoco,920,0.1,0.14285714285714285,403805
277,Zebra grazing on grass in outdoor enclosed area.,mscoco,239,0.1,0.14285714285714285,552408
278,Dirty open toilet surrounded by a green metal cabinet and exposed metal pipes.,mscoco,4869,0.0,0.07692307692307693,413127
279,"Black and white of a wet city sidewalk with pedestrians, mostly from the back, carrying open umbrellas, and on umbrella lying on the sidewalk near a booth and a parked SUV, with buildings.",mscoco,4853,0.1,1.0,765426
280,A bathroom with white counters and a sink under a large mirror.,mscoco,5274,0.2,1.0,215692
281,a large giraffe near many bushes in a field ,mscoco,3865,0.2,0.16666666666666666,732561
282,a group of people riding motorcycles on a highway,mscoco,1147,0.5,0.5,128036
283,Young man does a trick in a skate park on his skateboard.,mscoco,5469,0.4,0.3333333333333333,411745
284,A man cutting a piece of cake on top of  a table.,mscoco,4188,0.6,1.0,632430
285,Female tennis player in the motion of hitting a ball. ,mscoco,4358,0.3,0.25,28593
286,A woman and man playing video games in  a room.,mscoco,2207,0.6,0.5,47841
287,a sheep stands next to a baby sheep on some grass,mscoco,2347,0.9,1.0,517679
288,A white table sitting below a window in a room.,mscoco,3476,0.1,1.0,588773
289,A dark wood table in a kitchen with white appliances.,mscoco,1024,0.1,1.0,211077
290,A traffic light with a pedestrian crossing signal.,mscoco,677,0.2,0.125,213868
291,A woman takes a picture of herself in a public bathroom mirror.,mscoco,5432,0.7,0.5,603977
292,Three computer monitors which are displaying several landscape scenes. ,mscoco,5208,0.1,0.5,297484
293,A boy is practicing a jump on a skateboard.,mscoco,5777,0.3,0.25,560234
294,People having a donut eating contest at a picnic,mscoco,4028,0.1,0.25,387971
295,A picture of a pitcher in a baseball game.,mscoco,5832,0.3,0.14285714285714285,147132
296,A modern open concept kitchen and dining room.,mscoco,4579,0.5,1.0,792143
297,A baseball player up at bat with the catcher behind him.,mscoco,4089,0.2,0.25,385456
298,A large red and yellow double decker bus driving down a street.,mscoco,2630,0.4,1.0,98367
299,An old kitchen exhibit in a museum depicting a stove and work area.,mscoco,1342,0.1,1.0,715201
300,A UNRAVELED BED WITH A BLUE AND WHITE BED SPREAD,mscoco,3274,0.1,1.0,643630
301,a number of people riding bicycles on a street ,mscoco,1060,0.9,1.0,662785
302,Two birds are standing together on a pole near wire.,mscoco,340,0.1,0.1111111111111111,738070
303,a room with an electric rotating fan near furniture,mscoco,2991,0.1,0.125,34756
304,A large truck is parked in front of a cafe,mscoco,1502,0.0,0.07692307692307693,390714
305,A handicapped bathroom with toilet and wall sink.,mscoco,3435,0.2,1.0,374390
306,A skateboarder hitting a trick in a black and white photo.,mscoco,5545,0.3,0.5,696097
307,A man in a plaid shirt is by himself with a solemn expression.,mscoco,1076,0.0,0.05263157894736842,663793
308,A brown and white cow in grassy area next to a tree.,mscoco,108,0.3,0.3333333333333333,373915
309,"Ovens in a historic bakery, similar to pizza ovens.",mscoco,4195,0.1,0.1111111111111111,283322
310,Several people gathered around a horse in a field.,mscoco,2632,0.3,0.3333333333333333,258640
311,An older style black locomotive numbered 473 pullin passenger cabins.,mscoco,3244,0.0,0.05,267387
312,A hotdog with mayonnaise and mustard is on a plate.,mscoco,2362,0.1,0.5,256747
313,Two zebras are grazing in a fenced enclosure.,mscoco,1691,0.9,1.0,67928
314,One cat and three dogs sitting on the grass.,drawbench,47,0.0,0.0,47
315,"Painting of the orange cat Otto von Garfield, Count of Bismarck-Schönhausen, Duke of Lauenburg, Minister-President of Prussia. Depicted wearing a Prussian Pickelhaube and eating his favorite meal - lasagna.",drawbench,142,0.0,0.0,142
316,Several boats are docked under a tall mountain.,mscoco,456,0.2,0.2,699589
317,a couple of people on bikes are talking on a platform,mscoco,460,0.1,0.1111111111111111,485418
318,A pizza is topped with ham and onions.,mscoco,2215,0.1,1.0,264708
319,A man is riding a brown horse along with a black horse.,mscoco,1802,0.0,0.09090909090909091,219915
320,A man leaning up against a brick wall while talking on a phone.,mscoco,58,0.2,1.0,779905
321,A woolly sheep stands in the grass looking at the camera. ,mscoco,2294,0.8,1.0,107903
322,A group of people sitting on a couch playing a game on the Nintendo Wii.,mscoco,5991,0.6,1.0,170905
323,a person feeding a cat with a small bottle,mscoco,3997,0.7,1.0,88358
